CourseTitle,CourseCode,Fee,DepartmentID
Programming Fundamentals,COMP1511,6432.55,1
Software Engineering Fundamentals,COMP1531,7321.44,1
Computer Systems Fundamentals,COMP1521,6810.22,1
Data Structures and Algorithms,COMP2521,7453.91,1
Object-oriented Design and Programming,COMP2511,5988.40,1
Database Systems,COMP3311,7210.33,1
Artificial Intelligence,COMP3411,7544.28,1
Web Front-end Programming,COMP6080,6233.19,1
Advanced C++ Programming,COMP6771,7022.11,1
Machine Learning and Data Mining,COMP9417,7488.77,1
Discrete Mathematics,MATH1081,5521.42,1
Calculus 1,MATH1131,6399.55,1
Calculus 2,MATH1231,5877.12,1
Higher Mathematics 1A,MATH1141,7310.88,1
Higher Mathematics 1B,MATH1241,6944.21,1
Statistics for Engineers,MATH2089,5332.90,1
Theory of Computation,COMP3121,7422.66,1
Algorithms and Programming Techniques,COMP3821,7288.14,1
Operating Systems,COMP3231,6110.77,1
Computer Networks,COMP3331,7344.52,1
Computer Security,COMP6443,7566.90,1
Distributed Systems,COMP9242,7499.33,1
Human Computer Interaction,COMP3511,6299.44,1
Software Construction,COMP2041,5522.10,1
Mobile Application Development,COMP4511,6888.55,1
Deep Learning,COMP9444,7542.33,1
Natural Language Processing,COMP9447,7399.12,1
Computer Graphics,COMP3421,6221.44,1
Embedded Systems,COMP2121,5988.77,1
Compiler Design,COMP3131,7332.55,1
Computer Architecture,COMP3221,7421.10,1
Secure Coding Principles,COMP6841,7210.88,1
Cloud Computing,COMP4336,6999.44,1
Parallel Computing,COMP3222,7444.21,1
Big Data Systems,COMP9313,7322.55,1
Reinforcement Learning,COMP9445,7566.10,1
Robotics Software Engineering,COMP3431,6455.22,1
Software Testing & Verification,COMP4161,6888.33,1
Blockchain Engineering,COMP4920,7344.10,1
Computer Vision,COMP4418,7544.99,1
Game Development,COMP3151,6222.55,1
Functional Programming,COMP3141,5999.44,1
Cybersecurity Engineering,COMP6843,7422.33,1
Quantum Computing Foundations,COMP4701,7560.88,1
IoT Systems Engineering,COMP4337,6990.44,1
Advanced Algorithms,COMP4121,7440.55,1
Data Mining Techniques,COMP9318,7321.10,1
Information Retrieval,COMP6714,7544.22,1
Software Architecture,COMP4351,6888.10,1
DevOps Engineering,COMP3900,6455.44,1
Capstone Project A,COMP4951,7322.33,1
Capstone Project B,COMP4952,7444.88,1
Electrical Circuit Fundamentals,ELEC1111,5122.55,2
Circuits and Signals,ELEC2134,5888.44,2
Digital Circuit Design,ELEC2141,6221.33,2
Control Systems,ELEC3114,6999.22,2
Electrical Energy,ELEC3105,6444.10,2
Electronics,ELEC3106,5888.99,2
Electromagnetic Engineering,ELEC3115,7110.44,2
Electrical Engineering Design,ELEC3117,6555.33,2
Analogue and Digital Communications,TELE3113,6999.88,2
Digital Modulation and Coding,TELE4653,6222.55,2
Power Electronics,ELEC4612,6444.77,2
High Voltage Engineering,ELEC4622,6990.33,2
Signal Processing,ELEC3104,5888.10,2
Embedded Hardware Systems,ELEC2142,6221.44,2
RF Engineering,ELEC4632,7110.22,2
Wireless Communications,TELE3114,6999.55,2
Optical Communications,TELE4652,6444.33,2
Telecommunications Networks,TELE3115,6222.10,2
Machine Learning for Signals,ELEC4123,7110.99,2
Smart Grids,ELEC4623,6999.12,2
Engineering Mechanics,ENGG1300,4555.44,3
Mechanics of Solids 1,ENGG2400,4999.33,3
