StudentID,CourseID
488,92
965,256
865,43
876,15
786,61
731,282
754,210
423,277
544,184
83,67
358,238
26,134
553,23
334,300
68,331
536,27
542,330
65,168
987,118
391,22
999,27
577,69
607,291
44,341
877,4
828,328
412,13
440,173
786,187
115,328
738,39
276,44
500,141
605,65
38,317
841,305
948,321
40,335
18,125
171,294
932,65
198,247
505,326
452,167
597,49
661,313
319,221
495,31
975,95
582,117
768,130
32,265
831,300
453,145
86,37
679,150
844,235
722,230
861,271
257,256
534,10
17,2
56,114
440,80
137,211
226,55
112,147
370,202
372,165
199,293
832,148
820,303
654,111
707,158
380,202
160,82
46,75
636,270
310,259
729,225
228,111
661,20
971,297
344,323
377,215
117,138
84,132
46,276
665,222
242,213
567,309
891,165
197,88
463,153
889,219
340,145
228,51
857,73
986,266
1001,271
176,190
551,279
170,171
178,15
532,242
520,186
212,53
767,204
570,245
606,277
148,199
314,120
997,312
518,2
793,259
196,291
629,132
508,20
423,90
680,323
397,12
330,206
574,332
649,103
79,239
870,11
262,237
223,254
473,52
723,314
593,228
951,214
391,152
98,97
930,160
667,36
851,299
520,258
577,338
620,134
858,305
283,214
184,254
456,267
695,144
972,205
171,261
942,89
123,189
841,301
922,249
210,279
136,9
918,66
643,89
135,20
553,6
523,90
653,179
266,270
101,341
952,100
118,10
448,67
807,263
672,176
751,162
11,227
134,327
22,65
126,334
400,55
22,328
828,333
168,135
195,239
189,86
108,28
784,287
158,82
722,234
488,330
357,302
312,70
998,152
52,241
361,156
571,275
902,225
933,274
852,225
190,120
500,280
570,95
873,293
257,237
205,275
534,294
247,25
874,79
757,325
672,146
616,87
314,329
229,201
49,239
634,344
306,71
890,89
814,67
145,251
538,306
756,81
262,335
152,312
396,317
614,337
56,233
181,307
690,170
878,148
469,19
743,174
378,158
990,71
293,113
549,197
326,97
48,335
809,49
468,42
365,177
759,91
946,95
77,332
574,187
732,345
92,327
594,123
990,274
917,213
411,144
622,344
440,191
792,307
5,44
161,255
237,69
517,336
684,44
704,124
382,33
332,269
394,197
959,108
988,18
195,208
898,279
600,58
794,214
181,125
770,75
441,294
325,322
38,144
721,67
580,312
838,308
289,154
440,211
164,229
213,65
829,322
97,317
708,100
116,154
521,335
299,62
513,295
104,239
96,142
387,337
208,258
312,197
37,157
865,281
428,314
715,59
155,245
690,45
621,137
915,119
480,245
696,319
663,302
715,343
934,184
763,57
362,31
615,171
618,171
688,299
403,302
992,174
993,229
495,275
265,41
554,339
468,344
98,215
309,262
436,132
937,139
826,337
309,70
75,212
602,257
583,204
66,300
632,86
675,240
802,40
908,316
310,46
936,149
905,262
860,26
142,342
289,304
299,234
829,141
738,208
919,344
372,158
274,229
491,23
666,283
488,82
686,116
22,195
240,339
450,203
973,253
646,142
831,16
96,324
456,214
654,82
330,98
454,326
428,185
946,150
5,230
70,241
716,146
420,92
368,26
83,175
531,193
685,120
626,345
953,32
894,264
315,259
349,134
440,123
602,79
382,81
22,274
818,254
628,43
770,119
92,204
738,75
294,188
931,118
162,118
137,186
416,336
598,129
717,86
335,90
642,112
807,18
411,79
179,228
184,11
160,3
679,156
656,61
344,67
379,289
412,86
232,326
772,310
345,89
348,178
244,104
858,126
169,192
904,189
158,94
13,156
610,100
913,75
638,328
501,17
604,250
256,259
322,222
968,162
436,66
64,161
89,166
542,165
568,89
885,232
716,201
946,195
352,192
427,195
945,306
53,301
570,340
311,320
910,139
284,69
684,140
940,60
835,251
225,130
399,345
247,323
912,169
296,170
483,32
248,212
754,123
253,65
413,189
915,318
193,197
608,135
129,196
825,305
949,203
410,22
876,194
193,114
699,266
116,203
491,121
452,176
749,185
349,232
984,302
523,253
570,92
127,301
360,308
286,185
246,274
178,76
57,299
44,298
830,167
753,93
785,53
140,76
220,159
144,108
830,145
140,190
973,296
802,336
68,338
228,226
671,66
801,17
9,191
728,85
227,139
29,319
139,287
279,332
122,49
82,7
142,124
322,252
538,6
384,160
3,229
609,290
195,259
480,152
875,112
103,127
759,202
977,110
794,209
930,301
108,300
370,337
313,308
178,111
558,92
894,345
900,133
981,23
655,130
436,338
766,106
133,146
687,260
232,256
211,133
815,22
19,134
728,160
998,205
317,142
908,53
68,71
380,204
996,16
238,344
943,178
820,102
260,180
312,141
866,6
776,60
977,131
732,333
327,117
146,259
723,216
473,227
923,134
742,144
492,49
393,272
323,318
875,90
385,94
708,330
149,134
736,229
584,202
118,97
354,146
198,157
736,89
317,132
34,159
664,149
413,16
614,270
952,157
652,15
181,70
215,326
354,106
968,120
850,143
159,296
687,133
834,45
822,118
909,306
731,148
814,320
465,17
779,269
284,101
330,342
4,273
482,216
258,270
190,75
618,338
505,141
671,205
424,142
254,90
871,307
248,181
433,283
588,177
182,93
10,108
63,81
413,255
254,236
885,154
4,238
275,179
214,170
903,27
195,217
316,289
108,126
181,155
759,271
281,126
797,50
370,207
163,211
203,163
948,285
430,55
733,164
823,33
706,17
984,284
771,225
146,80
758,271
769,323
489,234
776,144
365,322
594,40
140,149
591,77
544,208
594,256
59,255
261,73
884,304
633,129
454,219
83,52
780,100
875,130
771,23
478,225
431,251
56,161
40,38
797,271
743,334
575,137
671,50
66,42
204,305
514,161
237,296
879,249
117,166
870,155
699,233
554,125
443,221
186,96
196,251
534,235
296,162
510,304
859,322
414,102
208,154
257,201
59,156
950,108
291,133
708,251
898,235
732,171
981,157
769,278
608,182
823,242
54,267
205,334
7,188
469,204
634,148
871,191
152,89
139,164
345,340
894,243
804,345
120,136
906,74
841,226
404,56
810,215
173,51
283,174
555,150
350,313
146,260
500,245
286,340
563,3
602,49
989,114
429,89
726,233
613,328
155,162
384,36
425,336
392,146
963,119
65,313
360,93
841,275
623,142
378,302
315,342
711,340
789,18
462,155
242,135
5,50
845,76
951,278
726,323
843,168
887,33
829,62
271,280
112,18
547,246
160,174
939,251
155,142
199,226
684,321
456,58
166,94
876,80
547,73
659,203
441,110
894,2
305,323
397,315
408,137
569,126
751,235
771,159
133,80
104,106
191,28
117,72
456,225
458,116
322,4
973,67
491,242
357,54
252,71
170,313
748,202
688,155
240,225
912,69
987,293
125,222
729,316
191,160
351,306
46,259
628,179
723,340
387,87
583,87
127,281
283,158
867,190
148,155
568,317
81,1
492,132
405,252
162,228
95,215
363,124
936,60
737,313
691,134
937,99
750,337
668,151
324,251
985,264
586,256
607,120
69,321
793,335
470,80
80,204
619,80
5,199
682,48
632,218
