MajorName,DepartmentID
Civil Engineering,4
Mechanical Engineering,3
Electrical Engineering,2
Aerospace Engineering,3
Chemical Engineering,5
Environmental Engineering,4
Software Engineering,1
Biomedical Engineering,6
Mechatronics Engineering,3
Physics,7
Chemistry,5
Biology,6
Mathematics,1
Data Science,1
Environmental Science,4
Marine Science,7
Biotechnology,6
Neuroscience,6
Accounting,1
Finance,1
Marketing,1
Economics,1
International Business,1
Human Resource Management,1
Information Systems,1
Business Analytics,1
Taxation,1
Psychology,6
Sociology,6
Philosophy,6
Criminology,6
Media Studies,6
International Relations,6
Linguistics,6
Fine Arts,6
Graphic Design,6
Computer Science,1
Cyber Security,1
Artificial Intelligence,1
Software Development,1
Information Technology,1
Cloud Computing,1
Computer Networks,2
Game Development,1
Machine Learning,1
Medical Science,6
Public Health,6
Exercise Physiology,6
Nutrition Science,6
Pharmacology,6
Anatomy,6
Pathology,6
Vision Science,6
Health Management,6
Architecture,7
Urban Planning,7
Construction Management,4
Landscape Architecture,7
Interior Architecture,7
Property & Development,7
City Planning,7
Sustainable Built Environments,7
Real Estate Studies,7
