StudentID,MajorID
291,30
432,15
605,33
265,20
999,60
304,64
435,21
770,55
610,40
811,30
1000,26
71,36
720,34
720,39
470,55
572,21
277,24
685,35
66,33
358,34
98,60
222,64
763,37
793,66
873,65
186,55
424,61
713,11
301,10
474,68
384,66
567,54
182,29
40,48
627,51
101,56
968,11
592,15
196,25
300,35
976,61
791,33
835,62
82,14
199,43
18,54
282,13
180,68
306,24
703,21
22,48
967,56
662,31
410,24
871,39
998,61
783,45
368,45
599,50
619,64
826,65
52,22
27,72
975,19
907,45
646,51
715,30
11,16
360,57
426,29
239,50
654,20
726,62
79,41
57,65
953,45
21,48
633,46
763,60
189,18
565,22
114,10
737,33
743,55
162,33
344,60
60,31
152,60
519,49
931,34
122,48
446,18
413,13
907,34
131,38
758,53
243,58
36,53
316,22
69,40
768,21
844,50
556,44
135,28
167,23
784,49
556,68
926,12
603,42
69,66
459,13
813,11
738,25
108,72
488,28
405,57
772,53
874,38
929,48
504,37
909,21
768,41
270,25
439,48
1000,47
813,42
948,63
861,20
81,67
624,39
540,31
422,50
75,13
598,27
297,52
807,17
684,63
963,66
123,35
341,36
805,11
592,24
435,61
898,60
997,55
17,18
304,16
847,60
214,70
347,51
491,59
846,16
86,17
591,56
241,72
442,70
347,64
831,72
419,27
682,67
283,10
350,49
886,10
350,38
332,58
774,32
508,56
459,24
243,28
610,19
263,16
119,55
693,65
899,21
850,46
240,31
745,45
770,41
391,62
399,14
400,61
826,15
311,57
885,54
903,43
521,54
595,45
864,57
491,52
145,19
554,45
539,45
487,27
456,61
607,60
166,42
132,15
622,69
632,33
346,47
692,26
663,48
649,49
812,43
630,37
305,26
796,35
509,61
691,69
953,12
774,54
113,49
326,34
290,14
220,58
111,40
828,48
464,18
711,18
12,42
700,61
222,11
143,46
500,41
891,51
552,24
504,37
549,35
210,12
656,22
58,13
632,25
364,38
895,65
811,20
756,31
748,49
727,44
949,66
926,38
22,69
327,36
280,20
843,64
965,53
341,63
395,32
150,12
78,59
331,59
258,36
848,41
678,20
630,62
983,72
338,56
503,51
215,22
806,71
819,29
857,29
558,32
328,29
954,65
637,54
124,21
391,35
146,29
27,60
508,17
278,45
935,52
408,26
285,29
133,71
245,28
901,24
827,42
265,72
467,28
767,41
449,27
460,44
852,18
484,25
26,10
641,35
202,71
262,23
947,57
118,22
690,12
734,13
924,17
547,26
849,62
110,61
547,57
608,58
451,40
567,43
507,17
632,31
91,40
259,13
912,67
342,48
668,25
932,58
687,65
942,66
339,18
178,48
599,57
973,26
937,60
911,59
374,31
100,14
332,61
670,26
50,38
618,32
241,28
424,51
517,63
686,60
238,29
982,40
71,18
227,57
60,14
328,31
172,21
162,51
949,41
701,53
738,55
331,72
216,34
588,40
425,18
492,55
233,45
207,34
28,57
543,57
489,19
806,25
583,12
993,21
980,69
850,34
940,36
736,24
64,21
819,29
547,72
100,16
224,16
780,27
116,18
222,16
885,11
643,72
753,52
958,35
687,69
567,44
966,21
79,29
85,27
451,25
17,21
721,23
234,64
617,52
65,60
672,20
576,47
30,49
981,37
701,33
928,64
837,21
787,54
591,70
434,18
911,42
416,30
321,72
201,56
22,66
298,70
714,64
738,17
842,51
200,72
761,62
398,36
601,32
713,45
812,35
703,64
718,36
171,41
496,68
775,57
914,69
462,13
894,65
984,63
565,58
927,47
394,23
633,27
961,69
342,56
894,56
687,37
978,51
70,13
578,25
162,68
38,33
99,35
372,20
176,14
839,47
172,27
350,68
474,33
793,65
538,71
281,60
857,12
497,35
150,34
991,59
208,10
922,25
279,65
177,49
872,19
76,65
411,59
410,21
718,46
772,29
46,45
661,37
896,45
757,42
472,28
369,34
523,28
748,71
633,66
601,36
540,52
837,33
169,29
121,33
573,71
173,18
984,23
556,50
912,32
682,20
531,12
444,52
448,44
225,42
560,39
173,23
648,37
560,35
919,66
759,20
179,71
373,49
667,47
383,36
124,20
961,48
611,26
158,47
977,30
79,56
110,42
613,63
443,21
930,15
806,69
307,66
777,30
244,16
697,28
69,61
785,54
